Date,Open,High,Low,Close
2024-05-20 09:50,2419.358,2421.478,2417.745,2420.808
2024-05-20 09:55,2420.764,2423.505,2420.474,2422.875
2024-05-20 10:00,2422.875,2423.375,2421.498,2422.148
2024-05-20 10:05,2422.148,2423.598,2421.575,2423.115
2024-05-20 10:10,2423.145,2424.765,2423.145,2424.625
2024-05-20 10:15,2424.665,2425.675,2423.138,2423.225
2024-05-20 10:20,2423.335,2425.578,2423.075,2424.565
2024-05-20 10:25,2424.505,2425.205,2423.615,2424.455
2024-05-20 10:30,2424.465,2426.848,2424.275,2424.585
2024-05-20 10:35,2424.585,2424.615,2419.328,2421.545
2024-05-20 10:40,2421.578,2421.608,2419.735,2421.275
2024-05-20 10:45,2421.275,2424.008,2420.825,2423.948
2024-05-20 10:50,2423.905,2424.018,2422.385,2423.658
2024-05-20 10:55,2423.645,2425.284,2422.455,2424.808
2024-05-20 11:00,2424.768,2425.438,2423.378,2424.785
2024-05-20 11:05,2424.785,2425.658,2423.618,2425.178
2024-05-20 11:10,2425.208,2426.208,2424.858,2425.218
2024-05-20 11:15,2425.238,2425.538,2422.825,2423.225
2024-05-20 11:20,2423.245,2424.278,2422.365,2424.175
2024-05-20 11:25,2424.195,2426.098,2423.095,2425.945
2024-05-20 11:30,2425.945,2427.465,2425.795,2427.228
2024-05-20 11:35,2427.158,2427.568,2425.935,2426.718
2024-05-20 11:40,2426.678,2427.988,2425.958,2427.035
2024-05-20 11:45,2427.038,2427.128,2425.178,2425.685
2024-05-20 11:50,2425.685,2426.245,2424.355,2424.435
2024-05-20 11:55,2424.438,2426.495,2424.195,2426.415
2024-05-20 12:00,2426.415,2428.428,2425.585,2428.105
2024-05-20 12:05,2428.105,2429.338,2427.335,2429.185
2024-05-20 12:10,2429.194,2430.178,2428.838,2429.635
2024-05-20 12:15,2429.648,2430.338,2429.088,2429.918
2024-05-20 12:20,2429.885,2431.854,2429.418,2431.368
2024-05-20 12:25,2431.298,2434.558,2430.905,2434.138
2024-05-20 12:30,2434.058,2434.115,2432.925,2433.755
2024-05-20 12:35,2433.755,2435.228,2433.635,2434.955
2024-05-20 12:40,2435.025,2435.765,2434.025,2435.155
2024-05-20 12:45,2435.155,2436.648,2434.955,2435.175
2024-05-20 12:50,2435.175,2436.355,2434.428,2435.435
2024-05-20 12:55,2435.435,2435.988,2434.928,2435.228
2024-05-20 13:00,2435.185,2435.518,2432.958,2432.975
2024-05-20 13:05,2432.978,2434.545,2431.775,2432.235
2024-05-20 13:10,2432.255,2435.715,2431.865,2434.745
2024-05-20 13:15,2434.835,2435.955,2434.535,2435.925
2024-05-20 13:20,2435.915,2436.208,2435.195,2435.948
2024-05-20 13:25,2435.948,2437.205,2435.185,2435.318
2024-05-20 13:30,2435.295,2436.395,2434.575,2436.365
2024-05-20 13:35,2436.445,2436.748,2435.965,2436.308
2024-05-20 13:40,2436.265,2436.975,2434.588,2434.638
2024-05-20 13:45,2434.565,2435.018,2433.725,2434.118
2024-05-20 13:50,2434.138,2434.635,2433.105,2433.238
2024-05-20 13:55,2433.225,2435.228,2432.655,2435.085
2024-05-20 14:00,2435.095,2435.268,2432.545,2432.655
2024-05-20 14:05,2432.655,2433.975,2432.655,2433.325
2024-05-20 14:10,2433.325,2433.825,2432.975,2433.455
2024-05-20 14:15,2433.555,2434.125,2431.655,2431.945
2024-05-20 14:20,2431.875,2432.195,2429.315,2430.448
2024-05-20 14:25,2430.448,2430.448,2428.485,2429.025
2024-05-20 14:30,2429.185,2431.338,2429.185,2431.338
2024-05-20 14:35,2431.295,2431.878,2431.075,2431.598
2024-05-20 14:40,2431.598,2432.138,2429.128,2429.338
2024-05-20 14:45,2429.358,2429.558,2428.178,2428.305
2024-05-20 14:50,2428.288,2429.398,2426.005,2426.108
2024-05-20 14:55,2426.108,2427.278,2425.935,2426.648
2024-05-20 15:00,2426.825,2427.875,2425.985,2427.385
2024-05-20 15:05,2427.368,2427.368,2424.395,2424.895
2024-05-20 15:10,2424.895,2425.205,2423.905,2424.585
2024-05-20 15:15,2424.385,2424.875,2423.595,2424.515
2024-05-20 15:20,2424.515,2424.828,2424.185,2424.745
2024-05-20 15:25,2424.715,2426.365,2424.575,2426.355
2024-05-20 15:30,2426.355,2427.088,2426.155,2426.368
2024-05-20 15:35,2426.418,2426.418,2424.778,2425.295
2024-05-20 15:40,2425.295,2425.778,2424.315,2424.655
2024-05-20 15:45,2424.645,2424.675,2423.195,2424.505
2024-05-20 15:50,2424.505,2425.598,2424.315,2424.998
2024-05-20 15:55,2425.018,2426.375,2424.685,2425.675
2024-05-20 17:00,2425.698,2427.585,2425.698,2427.125
2024-05-20 17:05,2427.085,2430.095,2427.065,2429.565
2024-05-20 17:10,2429.465,2429.465,2427.705,2427.705
2024-05-20 17:15,2427.665,2427.735,2427.295,2427.565
2024-05-20 17:20,2427.565,2429.475,2427.545,2429.075
2024-05-20 17:25,2429.065,2430.435,2429.065,2430.365
2024-05-20 17:30,2430.315,2430.315,2427.955,2428.605
2024-05-20 17:35,2428.625,2428.795,2427.615,2427.715
2024-05-20 17:40,2427.685,2428.545,2427.555,2427.735
2024-05-20 17:45,2427.668,2428.165,2426.335,2426.555
2024-05-20 17:50,2426.585,2427.185,2426.515,2427.165
2024-05-20 17:55,2427.185,2427.475,2426.725,2427.175
2024-05-20 18:00,2427.304,2427.578,2426.648,2427.398
2024-05-20 18:05,2427.485,2428.398,2427.485,2427.768
2024-05-20 18:10,2427.768,2428.035,2427.708,2427.765
2024-05-20 18:15,2427.795,2428.468,2427.795,2428.445
2024-05-20 18:20,2428.425,2428.428,2427.475,2427.475
2024-05-20 18:25,2427.375,2427.505,2426.515,2426.515
2024-05-20 18:30,2426.515,2426.625,2425.815,2426.555
2024-05-20 18:35,2426.565,2426.565,2425.095,2425.925
2024-05-20 18:40,2425.855,2426.475,2425.155,2426.255
2024-05-20 18:45,2426.055,2426.555,2425.475,2426.035
2024-05-20 18:50,2426.015,2426.445,2425.585,2426.295
2024-05-20 18:55,2426.355,2426.555,2426.105,2426.105
2024-05-20 19:00,2426.115,2426.905,2425.095,2426.905
2024-05-20 19:05,2426.875,2427.005,2425.645,2426.185
2024-05-20 19:10,2426.185,2426.385,2425.575,2426.075
2024-05-20 19:15,2426.165,2427.105,2425.855,2426.935
2024-05-20 19:20,2426.915,2427.545,2426.295,2426.415
2024-05-20 19:25,2426.335,2426.425,2424.885,2425.785
2024-05-20 19:30,2425.785,2426.275,2425.105,2425.635
2024-05-20 19:35,2425.678,2425.988,2424.215,2425.235
