Date,Open,High,Low,Close,Volume
2022-09-06 11:00:00,1702.994,1704.324,1700.978,1701.448,323
2022-09-06 12:00:00,1701.448,1703.674,1700.268,1700.904,260
2022-09-06 13:00:00,1700.914,1701.988,1699.888,1699.928,324
2022-09-06 14:00:00,1699.928,1702.294,1699.708,1700.018,314
2022-09-06 15:00:00,1699.988,1702.038,1699.948,1701.928,283
2022-09-06 17:00:00,1701.868,1702.264,1700.218,1700.304,586
2022-09-06 18:00:00,1700.294,1703.738,1699.804,1703.374,463
2022-09-06 19:00:00,1703.408,1703.678,1692.478,1696.051,309
2022-09-06 20:00:00,1696.064,1698.564,1694.236,1696.864,395
2022-09-06 21:00:00,1696.864,1697.528,1694.328,1694.998,400
2022-09-06 22:00:00,1694.944,1695.658,1692.288,1693.284,446
2022-09-06 23:00:00,1693.284,1694.584,1691.218,1693.538,352
2022-09-07 00:00:00,1693.554,1696.248,1693.393,1696.058,379
2022-09-07 01:00:00,1696.048,1699.583,1694.076,1698.978,374
2022-09-07 02:00:00,1699.008,1703.578,1696.46,1703.123,340
2022-09-07 03:00:00,1703.124,1705.384,1701.628,1703.958,267
2022-09-07 04:00:00,1703.958,1707.11,1703.821,1706.914,288
2022-09-07 05:00:00,1706.874,1706.958,1702.428,1702.708,285
2022-09-07 06:00:00,1702.734,1704.148,1700.178,1701.014,314
2022-09-07 07:00:00,1701.044,1704.114,1698.858,1700.208,318
2022-09-07 08:00:00,1700.184,1704.311,1696.929,1703.974,270
2022-09-07 09:00:00,1703.974,1713.338,1702.184,1711.548,308
2022-09-07 10:00:00,1711.558,1713.358,1709.434,1710.484,273
2022-09-07 11:00:00,1710.474,1714.978,1709.488,1714.978,294
2022-09-07 12:00:00,1714.978,1719.138,1714.044,1716.908,294
2022-09-07 13:00:00,1716.858,1717.078,1713.988,1714.608,281
2022-09-07 14:00:00,1714.628,1717.548,1714.198,1717.154,301
2022-09-07 15:00:00,1717.158,1719.318,1716.368,1717.998,265
2022-09-07 17:00:00,1717.798,1718.964,1717.498,1717.961,498
2022-09-07 18:00:00,1717.958,1717.958,1715.974,1716.528,392
2022-09-07 19:00:00,1716.498,1717.214,1715.414,1715.514,377
2022-09-07 20:00:00,1715.514,1719.188,1715.144,1715.278,394
2022-09-07 21:00:00,1715.278,1715.554,1713.408,1714.928,397
2022-09-07 22:00:00,1714.958,1715.968,1713.638,1714.358,328
2022-09-07 23:00:00,1714.358,1716.758,1713.774,1714.488,354
2022-09-08 00:00:00,1714.498,1717.318,1714.384,1716.028,351
2022-09-08 01:00:00,1716.028,1719.614,1715.284,1719.478,384
2022-09-08 02:00:00,1719.468,1722.728,1717.395,1717.638,340
2022-09-08 03:00:00,1717.614,1719.454,1716.088,1717.928,291
2022-09-08 04:00:00,1717.928,1721.258,1717.828,1720.514,294
2022-09-08 05:00:00,1720.514,1725.194,1719.101,1723.458,260
2022-09-08 06:00:00,1723.444,1728.095,1722.338,1723.705,288
2022-09-08 07:00:00,1723.69,1726.535,1713.764,1715.664,284
2022-09-08 08:00:00,1715.664,1716.644,1709.584,1711.408,323
2022-09-08 09:00:00,1711.408,1711.411,1703.878,1707.64,306
2022-09-08 10:00:00,1707.728,1709.081,1705.974,1707.104,307
2022-09-08 11:00:00,1707.124,1707.654,1704.711,1706.034,312
2022-09-08 12:00:00,1706.034,1711.525,1705.758,1709.314,312
2022-09-08 13:00:00,1709.314,1709.984,1706.998,1707.148,320
2022-09-08 14:00:00,1707.148,1709.028,1706.508,1706.668,304
2022-09-08 15:00:00,1706.688,1709.148,1706.668,1708.208,259
2022-09-08 17:00:00,1708.368,1709.448,1708.234,1709.134,598
2022-09-08 18:00:00,1709.134,1710.804,1709.108,1710.558,436
2022-09-08 19:00:00,1710.578,1715.158,1709.698,1713.484,366
2022-09-08 20:00:00,1713.444,1716.828,1713.104,1716.718,399
2022-09-08 21:00:00,1716.718,1718.748,1716.108,1718.644,421
2022-09-08 22:00:00,1718.644,1720.498,1718.464,1719.188,363
2022-09-08 23:00:00,1719.188,1721.618,1718.928,1721.244,352
2022-09-09 00:00:00,1721.244,1721.778,1718.778,1719.358,406
2022-09-09 01:00:00,1719.398,1722.764,1718.044,1722.368,405
2022-09-09 02:00:00,1722.358,1729.344,1721.898,1727.124,345
2022-09-09 03:00:00,1727.124,1729.074,1726.444,1728.414,298
2022-09-09 04:00:00,1728.434,1728.844,1725.15,1727.244,330
2022-09-09 05:00:00,1727.244,1729.264,1725.898,1726.754,297
2022-09-09 06:00:00,1726.785,1728.364,1719.654,1720.9,308
2022-09-09 07:00:00,1720.9,1722.415,1718.334,1718.718,315
2022-09-09 08:00:00,1718.718,1719.515,1711.258,1713.323,324
2022-09-09 09:00:00,1713.323,1717.426,1712.208,1714.353,302
2022-09-09 10:00:00,1714.434,1718.518,1713.254,1716.699,312
2022-09-09 11:00:00,1716.699,1720.194,1714.914,1719.964,313
2022-09-09 12:00:00,1719.974,1720.118,1716.148,1716.408,332
2022-09-09 13:00:00,1716.458,1716.464,1714.498,1715.558,286
2022-09-09 14:00:00,1715.508,1716.268,1714.538,1715.538,349
2022-09-09 15:00:00,1715.538,1717.814,1715.244,1715.938,350
2022-09-12 00:00:00,1712.703,1715.698,1712.088,1713.008,411
2022-09-12 01:00:00,1713.068,1720.728,1712.004,1720.504,418
2022-09-12 02:00:00,1720.504,1726.398,1719.228,1724.258,341
2022-09-12 03:00:00,1724.278,1725.748,1721.828,1725.748,330
2022-09-12 04:00:00,1725.768,1727.378,1724.264,1725.144,330
2022-09-12 05:00:00,1725.124,1727.464,1723.294,1727.128,311
2022-09-12 06:00:00,1727.144,1729.784,1725.878,1729.504,319
2022-09-12 07:00:00,1729.504,1733.798,1726.974,1729.614,323
2022-09-12 08:00:00,1729.644,1732.558,1723.618,1725.778,320
2022-09-12 09:00:00,1725.783,1730.404,1725.614,1730.018,296
2022-09-12 10:00:00,1730.038,1735.035,1728.326,1734.054,293
2022-09-12 11:00:00,1734.135,1734.764,1730.228,1731.728,314
2022-09-12 12:00:00,1731.728,1731.824,1728.244,1728.734,304
2022-09-12 13:00:00,1728.738,1728.924,1723.698,1726.752,317
2022-09-12 14:00:00,1726.756,1726.884,1724.268,1724.428,313
2022-09-12 15:00:00,1724.404,1726.076,1724.224,1724.378,304
2022-09-12 17:00:00,1724.558,1725.434,1724.264,1725.184,481
2022-09-12 18:00:00,1725.174,1726.308,1723.944,1725.155,346
2022-09-12 19:00:00,1725.144,1727.464,1724.398,1724.604,395
2022-09-12 20:00:00,1724.599,1725.144,1720.778,1723.503,406
2022-09-12 21:00:00,1723.548,1723.774,1720.614,1722.144,381
2022-09-12 22:00:00,1722.114,1722.864,1720.854,1721.208,394
2022-09-12 23:00:00,1721.208,1722.428,1720.198,1721.934,354
2022-09-13 00:00:00,1721.934,1722.758,1719.888,1721.414,307
2022-09-13 01:00:00,1721.548,1724.978,1721.164,1722.928,345
2022-09-13 02:00:00,1722.928,1725.254,1722.368,1723.818,311
2022-09-13 03:00:00,1723.858,1726.008,1721.808,1725.235,301
2022-09-13 04:00:00,1725.244,1728.055,1724.968,1726.687,301
2022-09-13 05:00:00,1726.694,1728.364,1724.338,1728.118,315
2022-09-13 06:00:00,1728.118,1731.355,1728.104,1729.684,316
2022-09-13 07:00:00,1729.654,1731.71,1702.974,1703.729,328
2022-09-13 08:00:00,1703.729,1709.468,1696.934,1706.514,334
2022-09-13 09:00:00,1706.558,1708.474,1703.548,1705.788,309
2022-09-13 10:00:00,1705.844,1707.258,1700.684,1700.888,308
2022-09-13 11:00:00,1700.874,1705.774,1700.484,1705.411,323
2022-09-13 12:00:00,1705.411,1707.224,1703.278,1703.604,291
2022-09-13 13:00:00,1703.584,1705.508,1702.788,1703.013,329
2022-09-13 14:00:00,1703.014,1703.554,1701.002,1702.378,327
2022-09-13 15:00:00,1702.418,1703.234,1701.454,1701.878,292
2022-09-13 17:00:00,1701.428,1702.764,1700.448,1701.838,490
2022-09-13 18:00:00,1701.848,1702.964,1701.304,1702.064,404
2022-09-13 19:00:00,1702.064,1703.054,1698.373,1700.144,335
2022-09-13 20:00:00,1700.144,1701.368,1697.118,1699.978,389
2022-09-13 21:00:00,1699.984,1703.458,1699.778,1701.544,372
2022-09-13 22:00:00,1701.544,1702.498,1700.074,1700.294,420
2022-09-13 23:00:00,1700.324,1704.988,1699.124,1703.894,344
2022-09-14 00:00:00,1703.878,1704.434,1701.098,1701.665,391
2022-09-14 01:00:00,1701.665,1703.128,1700.174,1700.764,385
2022-09-14 02:00:00,1700.794,1704.154,1698.787,1703.058,378
2022-09-14 03:00:00,1703.054,1706.068,1702.894,1704.304,316
2022-09-14 04:00:00,1704.314,1705.358,1702.394,1704.814,314
2022-09-14 05:00:00,1704.808,1705.934,1703.398,1703.508,304
2022-09-14 06:00:00,1703.534,1704.924,1700.988,1701.518,297
2022-09-14 07:00:00,1701.548,1707.014,1699.168,1705.744,323
2022-09-14 08:00:00,1705.734,1706.908,1702.844,1703.484,328
2022-09-14 09:00:00,1703.484,1706.374,1701.804,1706.237,315
2022-09-14 10:00:00,1706.237,1706.688,1702.234,1703.514,304
2022-09-14 11:00:00,1703.533,1703.728,1700.934,1701.218,309
